system,comp,sol,element,rest_l,z,z_err,c_d,cd_low,cd_high,b,mb_low,b_high,ew_flux,ew_vp,ew_er,s3,s5
3,j,S1306,FeII,2382.7642,2.53288,0.00103,14.2668,14.212,14.2994,37.1247,35.7315,38.0538,1.2028,0.808365,0.135038,-99,-99
3,j,S1306,FeII,2344.213,2.53288,0.00103,14.2668,14.212,14.2994,37.1247,35.7315,38.0538,-8.2629,0.513125,2.14481,-99,-99
3,j,S1306,FeII,1608.4508,2.53288,0.00103,14.2668,14.212,14.2994,37.1247,35.7315,38.0538,-1.02437,0.183128,2.00342,-99,-99
3,k,S1306,FeII,2600.1725,2.53427,9.80E-06,13.6384,13.5602,13.6882,18.1829,16.3328,19.3951,0.30158,0.313215,0.00518494,-99,-99
3,k,S1306,FeII,2586.6496,2.53427,9.80E-06,13.6384,13.5602,13.6882,18.1829,16.3328,19.3951,0.157898,0.135266,0.00532419,-99,-99
3,k,S1306,FeII,2382.7642,2.53427,9.80E-06,13.6384,13.5602,13.6882,18.1829,16.3328,19.3951,0.469431,0.319651,0.023954,-99,-99
3,k,S1306,FeII,2344.213,2.53427,9.80E-06,13.6384,13.5602,13.6882,18.1829,16.3328,19.3951,-19.7592,0.172428,0.811765,-99,-99
3,k,S1306,FeII,1608.4508,2.53427,9.80E-06,13.6384,13.5602,13.6882,18.1829,16.3328,19.3951,0.397278,0.0492852,1.09891,-99,-99
4,a,S1306,MgII,2796.3543,2.54463,5.89E-05,14.3539,13.8429,14.5994,2.1314,1.88279,2.33055,0.13573,0.100314,0.0189722,0.185,0.185
4,a,S1306,MgII,2803.5315,2.54463,5.89E-05,14.3539,13.8429,14.5994,2.1314,1.88279,2.33055,0.0693624,0.0927658,0.0173732,0.185,0.185
5,a,S1306,MgII,2796.3543,3.48939,0.000105,13.0908,12.9876,13.1817,23.0306,18.9092,27.1518,0.413721,0.320245,0.0139548,0.967,0.967
5,a,S1306,MgII,2803.5315,3.48939,0.000105,13.0908,12.9876,13.1817,23.0306,18.9092,27.1518,0.184524,0.183027,0.0232232,0.967,0.967
5,b,S1306,MgII,2796.3543,3.49031,7.56E-05,14.715,14.5032,14.9867,6.22146,5.91788,6.43506,0.272571,0.242948,0.0190714,0.967,0.967
5,b,S1306,MgII,2803.5315,3.49031,7.56E-05,14.715,14.5032,14.9867,6.22146,5.91788,6.43506,0.239282,0.227606,0.0260395,0.967,0.967
6,a,S1306,MgII,2796.3543,4.13988,2.26E-05,13.6837,13.6342,13.7428,18.2753,16.3997,19.8858,0.307295,0.396473,0.0455869,0.947,0.743
6,a,S1306,MgII,2803.5315,4.13988,2.26E-05,13.6837,13.6342,13.7428,18.2753,16.3997,19.8858,0.400508,0.410098,0.0126587,0.947,0.743
6,b,S1306,MgII,2796.3543,4.141,6.26E-05,13.0598,12.9745,13.1459,6.12227,5.0573,7.16218,0.15716,0.153515,0.0402381,0.947,0.743
6,b,S1306,MgII,2803.5315,4.141,6.26E-05,13.0598,12.9745,13.1459,6.12227,5.0573,7.16218,0.141182,0.129305,0.0194954,0.947,0.743
6,c,S1306,FeII,2600.1725,4.13985,1.47E-05,13.7969,13.7327,13.8593,10.3668,8.99413,11.7659,0.229451,0.238949,0.00685154,-99,-99
6,c,S1306,FeII,2586.6496,4.13985,1.47E-05,13.7969,13.7327,13.8593,10.3668,8.99413,11.7659,0.138544,0.137533,0.00644331,-99,-99
6,c,S1306,FeII,2382.7642,4.13985,1.47E-05,13.7969,13.7327,13.8593,10.3668,8.99413,11.7659,0.182083,0.231535,0.0117357,-99,-99
6,c,S1306,FeII,2344.213,4.13985,1.47E-05,13.7969,13.7327,13.8593,10.3668,8.99413,11.7659,0.176972,0.163095,0.00930663,-99,-99
6,c,S1306,FeII,1608.4508,4.13985,1.47E-05,13.7969,13.7327,13.8593,10.3668,8.99413,11.7659,-0.155709,0.0577537,0.284194,-99,-99
6,d,S1306,FeII,1260.533,4.13985,1.47E-05,13.7969,13.7327,13.8593,10.3668,8.99413,11.7659,-0.290676,0.0183801,0.215179,-99,-99
